original_title,release_year,popularity,director,keywords,runtime,vote_average,Profit
Jurassic World,2015,32.985763,Colin Trevorrow,monster|dna|tyrannosaurus rex|velociraptor|island,124,6.5,1363528810.0
Mad Max: Fury Road,2015,28.419936,George Miller,future|chase|post-apocalyptic|dystopia|australia,120,7.1,228436354.0
Insurgent,2015,13.112507,Robert Schwentke,based on novel|revolution|dystopia|sequel|dystopic future,119,6.3,185238201.0
Star Wars: The Force Awakens,2015,11.173103999999999,J.J. Abrams,android|spaceship|jedi|space opera|3d,136,7.5,1868178225.0
Furious 7,2015,9.335014,James Wan,car race|speed|revenge|suspense|car,137,7.3,1316249360.0
The Revenant,2015,9.1107,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,father-son relationship|rape|based on novel|mountains|winter,156,7.2,397950503.0
Terminator Genisys,2015,8.654359,Alan Taylor,saving the world|artificial intelligence|cyborg|killer robot|future,125,5.8,285603537.0
The Martian,2015,7.6674,Ridley Scott,based on novel|mars|nasa|isolation|botanist,141,7.6,487380321.0
Minions,2015,7.40416499999999,Kyle Balda|Pierre Coffin,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,91,6.5,1082730962.0
Inside Out,2015,6.326804,Pete Docter,dream|cartoon|imaginary friend|animation|kid,94,8.0,678708609.0
Spectre,2015,6.200282,Sam Mendes,spy|based on novel|secret agent|sequel|james bond,148,6.2,635674609.0
Jupiter Ascending,2015,6.189369,Lana Wachowski|Lilly Wachowski,jupiter|space|woman director|3d|interspecies romance,124,5.2,7987720.0
Ex Machina,2015,6.118847,Alex Garland,dancing|artificial intelligence|helicopter|distrust|isolation,108,7.6,21869414.0
Pixels,2015,5.984995,Chris Columbus,video game|nerd|alien attack|3d|pixels,105,5.8,155637091.0
Avengers: Age of Ultron,2015,5.944927,Joss Whedon,marvel comic|comic|sequel|superhero|vision,141,7.4,1125035767.0
The Hateful Eight,2015,5.8984,Quentin Tarantino,bounty hunter|wyoming|mountains|hangman|voice over narration,167,7.4,111760117.0
Taken 3,2015,5.749758,Olivier Megaton,revenge|murder|on the run|fugitive|framed,109,6.1,277771424.0
Ant-Man,2015,5.5731839999999995,Peyton Reed,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,115,7.0,388602163.0
Cinderella,2015,5.556818,Kenneth Branagh,cinderella|magic|fairy tale|princess|shoe,112,6.8,447351353.0
The Hunger Games: Mockingjay - Part 2,2015,5.476958,Francis Lawrence,revolution|strong woman|dystopia|game of death|3d,136,6.5,490523427.0
Tomorrowland,2015,5.4621379999999995,Brad Bird,inventor|apocalypse|destiny|imax|dreamer,130,6.2,19035668.0
Southpaw,2015,5.337064,Antoine Fuqua,sport,123,7.3,61709827.0
San Andreas,2015,4.907832,Brad Peyton,california|earthquake|catastrophe|disaster film|3d,114,6.1,360490832.0
Fifty Shades of Grey,2015,4.71040199999999,Sam Taylor-Johnson,based on novel|billionaire|bdsm|woman director|erotic movie,125,5.3,529651467.0
The Big Short,2015,4.648046,Adam McKay,bank|fraud|biography|wall street|finances,130,7.3,105346506.0
Mission: Impossible - Rogue Nation,2015,4.566713,Christopher McQuarrie,spy|sequel|mission,131,7.1,532330139.0
Ted 2,2015,4.5645489999999995,Seth MacFarlane,sperm bank|sequel|buddy|courthouse|teddy bear,115,6.3,147863606.0
Kingsman: The Secret Service,2015,4.503789,Matthew Vaughn,spy|great britain|secret organization|secret agent|marvel comic,130,7.6,322802136.0
Spotlight,2015,4.062293,Tom McCarthy,child abuse|journalism|judge|florida|boston,128,7.8,68346473.0
Maze Runner: The Scorch Trials,2015,3.968891,Wes Ball,based on novel|resistance|maze|post-apocalyptic|dystopia,132,6.4,250256926.0
Mr. Holmes,2015,3.927333,Bill Condon,london|detective|sherlock holmes,103,6.4,14729501.90585312
Chappie,2015,3.899557,Neill Blomkamp,artificial intelligence|android|robot|near future|robot cop,120,6.6,53069268.0
Pitch Perfect 2,2015,3.877764,Elizabeth Banks,music|sequel|singer|male female relationship|audition,115,6.8,258506194.0
Bridge of Spies,2015,3.6482099999999997,Steven Spielberg,spy|cia|cold war|pilot|lawyer,141,7.1,122610473.0
Goosebumps,2015,3.6445410000000003,Rob Letterman,based on novel|magic|fantasy|family|3d,103,6.2,92170815.0
Room,2015,3.557846,Lenny Abrahamson,based on novel|carpet|isolation|imprisonment|grandparents,117,8.0,29401758.0
Solace,2015,3.358321,Afonso Poyart,thriller|serial killer|psychic|fbi agent|intrigue,101,6.2,7728870.905853121
The Good Dinosaur,2015,3.3391349999999997,Peter Sohn,tyrannosaurus rex|friends|animation|alternate history|dinosaur,93,6.6,156926147.0
Run All Night,2015,3.23737,Jaume Collet-Serra,hitman|revenge|murder|on the run|mobster,114,6.3,21561644.0
Brooklyn,2015,3.227329,John Crowley,love triangle|based on novel|homesickness|vororte|ship,111,7.3,51076141.0
Straight Outta Compton,2015,3.2027189999999996,F. Gary Gray,brother brother relationship|aids|police brutality|hip-hop|wife husband relationship,147,7.7,173634991.0
The Last Witch Hunter,2015,3.080505,Breck Eisner,new york|witch|uprising|witch hunter,106,5.6,50396650.0
Steve Jobs,2015,3.0795220000000003,Danny Boyle,biography|computer|based on true story|father daughter relationship|apple computer,122,6.9,4441873.0
The Man from U.N.C.L.E.,2015,3.0534209999999997,Guy Ritchie,spy|cold war|remake|based on tv series|buddy cop,116,7.0,33145109.0
The Age of Adaline,2015,3.025852,Lee Toland Krieger,san francisco|immortality|love|forever,112,7.3,17629776.0
Hardcore Henry,2015,3.023253,Ilya Naishuller,female nudity|cyborg|nudity|murder|gore,97,5.9,4333790.0
Home,2015,2.976436,Tim Johnson,friendship|spaceship|space|alien|alien invasion,94,6.9,233871007.0
Paper Towns,2015,2.968254,Jake Schreier,friendship|high school|teen|classmate|based on young adult book,109,6.2,73512300.0
Wild Card,2015,2.93234,Simon West,gambling|bodyguard|remake,92,5.3,9823319.793392234
The Lobster,2015,2.8851259999999996,Yorgos Lanthimos,dystopia,118,6.6,5064511.0
Carol,2015,2.883233,Todd Haynes,gay|new york|female nudity|chicago|sex,118,7.1,28472135.0
The Intern,2015,2.8148020000000002,Nancy Meyers,intern|woman director,121,7.1,159564672.0
Everest,2015,2.7980169999999998,Baltasar KormÃ¡kur,mountains|snow storm|hiking|snow|death,121,6.7,148427584.0
Joy,2015,2.793297,David O. Russell,biography,124,6.4,41134059.0
Point Break,2015,2.6144990000000004,Ericson Core,undercover|undercover agent|extreme sports|fbi agent|3d,114,5.5,28718711.0
Burnt,2015,2.584264,John Wells,london|cook|restaurant|diva|career,100,6.3,16606743.0
Self/less,2015,2.578919,Tarsem Singh,lie|immortality|terminal illness|laboratory|cancer,116,6.2,4523226.0
Mortdecai,2015,2.575711,David Koepp,based on novel|painting|debt|art dealer|stolen painting,106,5.3,-29581440.0
The Danish Girl,2015,2.557859,Tom Hooper,paris|denmark|copenhagen|artist|art,120,7.3,49191523.0
Blackhat,2015,2.5507470000000003,Michael Mann,terrorist|technology|anti hero|hacker|computer virus,133,5.0,-52247060.0
Sicario,2015,2.487849,Denis Villeneuve,mexico|cia|smoking|texas|fbi,121,7.1,54025816.0
Fantastic Four,2015,2.4870419999999998,Josh Trank,teleportation|transformation|telekinesis|portal|marvel comic,100,4.4,47977595.0
The Witch,2015,2.46449,Robert Eggers,witch|new england|17th century,92,5.8,36923945.0
Spy,2015,2.404473,Paul Feig,spy|cia|undercover|arms dealer|disaster,120,6.9,170666219.0
Focus,2015,2.395366,Glenn Ficarra|John Requa,seduction|con man|femme fatale|deception|con artist,105,6.7,103862963.0
Hitman: Agent 47,2015,2.354654,Aleksander Bach,assassin|secret identity|intelligence|hitman|execution,96,5.5,47347656.0
In the Heart of the Sea,2015,2.345821,Ron Howard,suicide|ocean|sea|hunger|shipwreck,122,6.4,-6179242.0
Survivor,2015,2.331636,James McTeigue,new year's eve|fire|showdown|terrorist|embassy,96,5.4,19823319.793392234
Creed,2015,2.3315669999999997,Ryan Coogler,underdog|sport|spin off|underground fighting|motivational speaker,133,7.3,102935567.0
Trainwreck,2015,2.31767,Judd Apatow,alcohol|one-night stand,125,6.1,105795793.0
Eye in the Sky,2015,2.29573,Gavin Hood,terrorist|drone|u.s. military|air force base|combat drone,102,7.2,19848185.0
